id,uni,course,minTariff,maxTariff,postcode,minALevel,maxALevel
362,Regents Theological College,Applied Theology (Taught),0,0,WR14 4AY,"['A', 'A', 'B']","['A', 'A', 'B']"
363,Royal Academy of Dramatic Art,Performance Lighting (Taught),0,0,WC1E 6ED,"['A', 'A', 'B']","['A', 'A', 'B']"
364,Royal Drawing School,The Drawing Year (Taught),0,0,EC2A 3SG,"['A', 'A', 'B']","['A', 'A', 'B']"
365,,,0,0,,"['A', 'A', 'B']","['A', 'A', 'B']"
366,UCL (University College London),Advanced Audiology (Taught),0,0,WC1E 6BT,"['A', 'A', 'B']","['A', 'A', 'B']"
367,University of the Built Environment,Access Module ,0,0,RG1 4BS,"['A', 'A', 'B']","['A', 'A', 'B']"
368,,,0,0,,"['A', 'A', 'B']","['A', 'A', 'B']"
369,Cambridge Marketing College,CIM Marketing Leadership Programme (Taught),0,0,CB24 4AA,"['A', 'A', 'B']","['A', 'A', 'B']"
370,Centre for Alternative Technology,Green Building (Taught),0,0,SY20 9AZ,"['A', 'A', 'B']","['A', 'A', 'B']"
371,Dyslexia Action,Professional Practice in Dyslexia and Literacy (Taught),0,0,TW18 4AX,"['A', 'A', 'B']","['A', 'A', 'B']"
372,Guildhall School of Music & Drama,Artist Diploma (Taught),0,0,EC2Y 8DT,"['A', 'A', 'B']","['A', 'A', 'B']"
373,,,0,0,,"['A', 'A', 'B']","['A', 'A', 'B']"
374,London Film School,Film Marketing (Taught),0,0,WC2H 9UB,"['A', 'A', 'B']","['A', 'A', 'B']"
375,,,0,0,,"['A', 'A', 'B']","['A', 'A', 'B']"
376,Real Training,Autism Spectrum Conditions (Taught),0,0,CT1 2NZ,"['A', 'A', 'B']","['A', 'A', 'B']"
377,,,0,0,,"['A', 'A', 'B']","['A', 'A', 'B']"
378,,,0,0,,"['A', 'A', 'B']","['A', 'A', 'B']"
379,,,0,0,,"['A', 'A', 'B']","['A', 'A', 'B']"
380,,,0,0,,"['A', 'A', 'B']","['A', 'A', 'B']"
381,,,0,0,,"['A', 'A', 'B']","['A', 'A', 'B']"
