id,uni,course,minTariff,maxTariff,postcode,minALevel,maxALevel
125,"Harrow, Richmond & Uxbridge College",Applied Science - Forensic ,0,0,UB8 1NQ,"['D', 'D']","['E', 'E', 'E']"
126,Health Sciences University,Chiropractic ,120,120,BH5 2DF,"['B', 'B', 'B']","['B', 'B', 'B']"
127,Heart of Worcestershire College,Computing for England ,0,0,B98 8DW,"['B', 'B', 'B']","['B', 'B', 'B']"
128,Hereford College of Arts,Artist Blacksmithing ,0,0,HR1 1LT,"['B', 'B', 'B']","['B', 'B', 'B']"
129,"Herefordshire, Ludlow & North Shropshire College",Community Coaching for Sport HNC Level 4 (HTQ) - Hereford ,0,0,HR1 1LS,"['B', 'B', 'B']","['B', 'B', 'B']"
130,Heriot-Watt University,Accountancy ,112,112,EH14 4AS,"['B', 'B', 'C']","['B', 'B', 'C']"
131,Hertford Regional College,Fine Art ,0,0,EN10 6AE,"['B', 'B', 'C']","['B', 'B', 'C']"
132,University of Hertfordshire,Accounting ,0,0,AL10 9AB,"['B', 'B', 'C']","['B', 'B', 'C']"
133,Holy Cross Sixth Form College and University Centre,Early Childhood and Education ,0,0,BL9 9BB,"['B', 'B', 'C']","['B', 'B', 'C']"
134,Hopwood Hall College,Art and Design (Arts Practice) ,80,80,OL12 6RY,"['C', 'D', 'D']","['C', 'D', 'D']"
135,University of Huddersfield,Accounting and Finance ,0,0,HD1 3DH,"['C', 'D', 'D']","['C', 'D', 'D']"
136,Hugh Baird College,Business and Management ,0,0,L20 7EW,"['C', 'D', 'D']","['C', 'D', 'D']"
137,Hull College,Advanced Beauty Therapy and Aesthetics ,0,0,HU1 3DG,"['C', 'D', 'D']","['C', 'D', 'D']"
138,University of Hull,Accounting ,0,0,HU6 7RX,"['C', 'D', 'D']","['C', 'D', 'D']"
139,Hult International Business School,Business Administration ,0,0,E1 1LD,"['C', 'D', 'D']","['C', 'D', 'D']"
140,Imperial College London,Biochemistry ,144,144,SW7 2AZ,"['A', 'A', 'A']","['A', 'A', 'A']"
141,Institute of Contemporary Music Performance,Audio Engineering and Production ,0,0,NW6 7XG,"['A', 'A', 'A']","['A', 'A', 'A']"
142,International Business College Manchester,Business (Level 4) ,0,0,M1 3HU,"['A', 'A', 'A']","['A', 'A', 'A']"
143,,,0,0,,"['A', 'A', 'A']","['A', 'A', 'A']"
144,,,0,0,,"['A', 'A', 'A']","['A', 'A', 'A']"
145,,,0,0,,"['A', 'A', 'A']","['A', 'A', 'A']"
146,,,0,0,,"['A', 'A', 'A']","['A', 'A', 'A']"
147,Kent and Medway Medical School,Medicine ,136,144,CT2 7NZ,"['A', 'A', 'B']","['A', 'A', 'A']"
148,University of Kent,Accounting and Finance ,128,112,CT2 7NZ,"['A', 'B', 'B']","['B', 'B', 'C']"
149,,,0,0,,"['A', 'B', 'B']","['B', 'B', 'C']"
150,,,0,0,,"['A', 'B', 'B']","['B', 'B', 'C']"
151,,,0,0,,"['A', 'B', 'B']","['B', 'B', 'C']"
152,LAMDA (London Academy of Music & Dramatic Art),Foundation in Stage and Screen ,0,0,W14 9DA,"['A', 'B', 'B']","['B', 'B', 'C']"
153,University of Lancashire,Accounting and Finance ,0,0,PR1 2HE,"['A', 'B', 'B']","['B', 'B', 'C']"
154,Lancaster University,Accounting and Finance ,136,136,LA1 4YW,"['A', 'A', 'B']","['A', 'A', 'B']"
155,The University of Law,Business Management ,0,0,EC1Y 8HQ,"['A', 'A', 'B']","['A', 'A', 'B']"
156,,,0,0,,"['A', 'A', 'B']","['A', 'A', 'B']"
157,,,0,0,,"['A', 'A', 'B']","['A', 'A', 'B']"
158,,,0,0,,"['A', 'A', 'B']","['A', 'A', 'B']"
159,,,0,0,,"['A', 'A', 'B']","['A', 'A', 'B']"
160,,,0,0,,"['A', 'A', 'B']","['A', 'A', 'B']"
161,,,0,0,,"['A', 'A', 'B']","['A', 'A', 'B']"
162,,,0,0,,"['A', 'A', 'B']","['A', 'A', 'B']"
163,,,0,0,,"['A', 'A', 'B']","['A', 'A', 'B']"
164,,,0,0,,"['A', 'A', 'B']","['A', 'A', 'B']"
165,,,0,0,,"['A', 'A', 'B']","['A', 'A', 'B']"
166,,,0,0,,"['A', 'A', 'B']","['A', 'A', 'B']"
167,University of Lincoln,Accountancy and Finance ,104,112,LN6 7TS,"['B', 'C', 'C']","['B', 'B', 'C']"
