SICBL23CD,SICBL23CDH,SICBL23NM
E38000239,26A,NHS Norfolk and Waveney ICB - 26A
E38000240,93C,NHS North Central London ICB - 93C
E38000241,42D,NHS Humber and North Yorkshire ICB - 42D
E38000243,52R,NHS Nottingham and Nottinghamshire ICB - 52R
E38000244,72Q,NHS South East London ICB - 72Q
E38000245,36L,NHS South West London ICB - 36L
E38000247,16C,NHS North East and North Cumbria ICB - 16C
E38000249,M1J4Y,"NHS Bedfordshire, Luton and Milton Keynes ICB - M1J4Y"
E38000251,B2M3M,NHS Coventry and Warwickshire ICB - B2M3M
E38000252,D4U1Y,NHS Frimley ICB - D4U1Y
E38000253,D9Y0V,NHS Hampshire and Isle of Wight ICB - D9Y0V
E38000254,X2C4Y,NHS West Yorkshire ICB - X2C4Y
E38000255,A3A8R,NHS North East London ICB - A3A8R
E38000256,W2U3Z,NHS North West London ICB - W2U3Z
E38000257,M2L0M,"NHS Shropshire, Telford and Wrekin ICB - M2L0M"
E38000258,15E,NHS Birmingham and Solihull ICB - 15E
E38000259,D2P2L,NHS Black Country ICB - D2P2L
E38000260,06H,NHS Cambridgeshire and Peterborough ICB - 06H
E38000261,15M,NHS Derby and Derbyshire ICB - 15M
E38000262,78H,NHS Northamptonshire ICB - 78H
E38000263,01Y,NHS Greater Manchester ICB - 01Y
E38000264,92A,NHS Surrey Heartlands ICB - 92A
E38000265,70F,NHS Sussex ICB - 70F
