LOC22CD,LOC22CDH,LOC22NM,LOC22NMW
E38000260,06H,NHS Cambridgeshire and Peterborough ICB - 06H,
E38000261,15M,NHS Derby and Derbyshire ICB - 15M,
E38000262,78H,NHS Northamptonshire ICB - 78H,
E38000263,01Y,NHS Greater Manchester ICB - 01Y,
L99999999,X98,Channel Islands,
M01000001,YK1,Isle Of Man,
S03000001,001,East Ayrshire Community Health Partnership,
S03000002,002,North Ayrshire Community Health Partnership,
S03000003,003,South Ayrshire Community Health Partnership,
S03000004,004,Scottish Borders Community Health & Care Partnership,
S03000005,005,Dumfries & Galloway Community Health Partnership,
S03000006,006,Dunfermline & West Fife Community Health Partnership,
S03000007,007,Glenrothes & North East Fife Community Health Partnership,
S03000008,008,Kirkcaldy & Levenmouth Community Health Partnership,
S03000009,009,Clackmannanshire Community Health Partnership,
S03000010,010,Falkirk Community Health Partnership,
S03000011,011,Stirling Community Health Partnership,
S03000012,012,Aberdeen City Community Health Partnership,
S03000013,013,Aberdeenshire Community Health Partnership,
S03000014,014,Moray Community Health & Social Care Partnership,
S03000015,015,East Dunbartonshire Community Health Partnership,
S03000017,017,East Renfrewshire Community Health & Care Partnership,
S03000018,018,Inverclyde Community Health Partnership,
S03000020,020,Renfrewshire Community Health Partnership,
S03000023,023,West Dunbartonshire Community Health Partnership,
S03000025,025,Argyll & Bute Community Health Partnership,
S03000029,029,North Lanarkshire Community Health Partnership,
S03000030,030,South Lanarkshire Community Health Partnership,
S03000031,031,East Lothian Community Health Partnership,
S03000032,032,Midlothian Community Health Partnership,
S03000035,035,West Lothian Community Health & Care Partnership,
S03000036,036,Orkney Community Health Partnership,
S03000037,037,Shetland Community Health Partnership,
S03000038,038,Angus Community Health Partnership,
S03000039,039,Dundee Community Health Partnership,
S03000040,040,Perth & Kinross Community Health Partnership,
S03000041,041,Western Isles Community Health Partnership,
S03000042,042,Edinburgh Community Health Partnership,
S03000043,043,Glasgow City Community Health & Care Partnership,
S03000044,044,Highland Health and Social Care Partnership,
W11000023,7A1,Betsi Cadwaladr University,Bwrdd Iechyd Prifysgol Betsi Cadwaladr
W11000024,7A7,Powys Teaching,Bwrdd Iechyd Addysgu Powys
W11000025,7A2,Hywel Dda University,Bwrdd Iechyd Prifysgol Hywel Dda
W11000028,7A6,Aneurin Bevan University,Bwrdd Iechyd Prifysgol Aneurin Bevan
W11000029,7A4,Cardiff and Vale University,Bwrdd Iechyd Prifysgol Caerdydd a’r Fro
W11000030,7A5,Cwm Taf Morgannwg University,Bwrdd Iechyd Prifysgol Cwm Taf Morgannwg
W11000031,7A3,Swansea Bay University,Bwrdd Iechyd Prifysgol Bae Abertawe
ZC010,ZC010,Belfast,
ZC020,ZC020,Northern,
ZC030,ZC030,Southern,
ZC040,ZC040,South Eastern,
ZC050,ZC050,Western,
